4K频道,#genre#
CCTV-兵器科技,http://59.175.154.178:8188/rtp/239.69.1.79:10114
CCTV-风云足球,http://59.175.154.178:8188/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://59.175.154.178:8188/rtp/239.69.1.83:10138
CCTV-世界地理,http://59.175.154.178:8188/rtp/239.69.1.91:10186
CCTV-央视台球,http://59.175.154.178:8188/rtp/239.69.1.98:10224
CCTV-4中文国际 欧洲,http://59.175.154.178:8188/rtp/239.69.1.231:11028
CCTV-4中文国际 美洲,http://59.175.154.178:8188/rtp/239.69.1.232:11034
CETV1,http://59.175.154.178:8188/rtp/239.69.1.110:10298
CGTN记录片,http://59.175.154.178:8188/rtp/239.69.1.233:11040
CGTN西班牙语,http://59.175.154.178:8188/rtp/239.69.1.234:11046
CGTN法语,http://59.175.154.178:8188/rtp/239.69.1.235:11052

湖北电信-卫视,#genre#
湖北卫视,http://219.140.5.147:8899/rtp/239.254.96.115:8664
河北卫视,http://219.140.5.147:8899/rtp/239.254.96.113:9616
深圳卫视,http://219.140.5.147:8899/rtp/239.254.96.137:8896
湖南卫视,http://219.140.5.147:8899/rtp/239.254.96.139:8908
广东卫视,http://219.140.5.147:8899/rtp/239.254.96.140:8914
北京卫视,http://219.140.5.147:8899/rtp/239.254.96.141:8920
东方卫视,http://219.140.5.147:8899/rtp/239.254.96.142:8926
浙江卫视,http://219.140.5.147:8899/rtp/239.254.96.143:8932
江苏卫视,http://219.140.5.147:8899/rtp/239.254.96.144:8938
天津卫视,http://219.140.5.147:8899/rtp/239.69.1.68:10048
山东卫视,http://219.140.5.147:8899/rtp/239.69.1.69:10054
安徽卫视,http://219.140.5.147:8899/rtp/239.69.1.70:10060
辽宁卫视,http://219.140.5.147:8899/rtp/239.69.1.71:10066
东南卫视,http://219.140.5.147:8899/rtp/239.69.1.108:10286
江西卫视,http://219.140.5.147:8899/rtp/239.69.1.126:10394
重庆卫视,http://219.140.5.147:8899/rtp/239.69.1.149:10530
贵州卫视,http://219.140.5.147:8899/rtp/239.69.1.150:10536
海南卫视,http://219.140.5.147:8899/rtp/239.69.1.151:10542
河南卫视,http://219.140.5.147:8899/rtp/239.69.1.168:10644
四川卫视,http://219.140.5.147:8899/rtp/239.69.1.169:10650
广西卫视,http://219.140.5.147:8899/rtp/239.69.1.191:10788
吉林卫视,http://219.140.5.147:8899/rtp/239.69.1.212:10914
黑龙江卫视,http://219.140.5.147:8899/rtp/239.254.96.138:8902
湖南金鹰纪实,http://219.140.5.147:8899/rtp/239.69.1.109:10292
湖南金鹰卡通,http://219.140.5.147:8899/rtp/239.69.1.248:11130
湖南快乐垂钓,http://219.140.5.147:8899/rtp/239.69.1.142:10488
湖南茶,http://219.140.5.147:8899/rtp/239.69.1.144:10500
BRTV卡酷少儿,http://219.140.5.147:8899/rtp/239.69.1.193:10800
河南梨园,http://219.140.5.147:8899/rtp/239.69.1.33:9838
河南武术世界,http://219.140.5.147:8899/rtp/239.69.1.47:9922
东方卫视,http://221.232.198.191:7777/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://221.232.198.191:7777/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://221.232.198.191:7777/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://221.232.198.191:7777/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://221.232.198.191:7777/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://221.232.198.191:7777/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://221.232.198.191:7777/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://221.232.198.191:7777/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://221.232.198.191:7777/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://221.232.198.191:7777/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://221.232.198.191:7777/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://221.232.198.191:7777/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
湖北经视,http://221.232.198.191:7777/tsfile/live/0132_3.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://221.232.198.191:7777/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北综合,http://221.232.198.191:7777/tsfile/live/0132_4.m3u8?key=txiptv&playlive=1&authid=0
湖北公共,http://221.232.198.191:7777/tsfile/live/0132_2.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://221.232.198.191:7777/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://221.232.198.191:7777/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://221.232.198.191:7777/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://221.232.198.191:7777/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://221.232.198.191:7777/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://221.232.198.191:7777/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://59.175.154.178:8188/rtp/239.254.96.115:8664
河北卫视,http://59.175.154.178:8188/rtp/239.254.96.113:9616
深圳卫视,http://59.175.154.178:8188/rtp/239.254.96.137:8896
湖南卫视,http://59.175.154.178:8188/rtp/239.254.96.139:8908
广东卫视,http://59.175.154.178:8188/rtp/239.254.96.140:8914
北京卫视,http://59.175.154.178:8188/rtp/239.254.96.141:8920
东方卫视,http://59.175.154.178:8188/rtp/239.254.96.142:8926
浙江卫视,http://59.175.154.178:8188/rtp/239.254.96.143:8932
江苏卫视,http://59.175.154.178:8188/rtp/239.254.96.144:8938
天津卫视,http://59.175.154.178:8188/rtp/239.69.1.68:10048
山东卫视,http://59.175.154.178:8188/rtp/239.69.1.69:10054
安徽卫视,http://59.175.154.178:8188/rtp/239.69.1.70:10060
辽宁卫视,http://59.175.154.178:8188/rtp/239.69.1.71:10066
东南卫视,http://59.175.154.178:8188/rtp/239.69.1.108:10286
江西卫视,http://59.175.154.178:8188/rtp/239.69.1.126:10394
重庆卫视,http://59.175.154.178:8188/rtp/239.69.1.149:10530
贵州卫视,http://59.175.154.178:8188/rtp/239.69.1.150:10536
海南卫视,http://59.175.154.178:8188/rtp/239.69.1.151:10542
河南卫视,http://59.175.154.178:8188/rtp/239.69.1.168:10644
四川卫视,http://59.175.154.178:8188/rtp/239.69.1.169:10650
广西卫视,http://59.175.154.178:8188/rtp/239.69.1.191:10788
吉林卫视,http://59.175.154.178:8188/rtp/239.69.1.212:10914
黑龙江卫视,http://59.175.154.178:8188/rtp/239.254.96.138:8902
湖南金鹰纪实,http://59.175.154.178:8188/rtp/239.69.1.109:10292
湖南金鹰卡通,http://59.175.154.178:8188/rtp/239.69.1.248:11130
湖南快乐垂钓,http://59.175.154.178:8188/rtp/239.69.1.142:10488
湖南茶,http://59.175.154.178:8188/rtp/239.69.1.144:10500
BRTV卡酷少儿,http://59.175.154.178:8188/rtp/239.69.1.193:10800
河南梨园,http://59.175.154.178:8188/rtp/239.69.1.33:9838
河南武术世界,http://59.175.154.178:8188/rtp/239.69.1.47:9922

湖北电信-地方,#genre#
湖北经视,http://219.140.5.147:8899/rtp/239.69.1.41:9886
湖北综合,http://219.140.5.147:8899/rtp/239.69.1.42:9892
湖北公共新闻,http://219.140.5.147:8899/rtp/239.69.1.40:9880
湖北垄上,http://219.140.5.147:8899/rtp/239.69.1.43:9898
湖北影视,http://219.140.5.147:8899/rtp/239.69.1.204:10866
湖北生活,http://219.140.5.147:8899/rtp/239.69.1.205:10872
湖北教育,http://219.140.5.147:8899/rtp/239.69.1.206:10878
武汉新闻综合,http://219.140.5.147:8899/rtp/239.69.1.145:10506
武汉电视剧,http://219.140.5.147:8899/rtp/239.69.1.146:10512
武汉科技生活,http://219.140.5.147:8899/rtp/239.69.1.251:11148
武汉文体,http://219.140.5.147:8899/rtp/239.69.1.147:10518
武汉教育,http://219.140.5.147:8899/rtp/239.69.1.60:9994
蔡甸综合,http://219.140.5.147:8899/rtp/239.69.1.245:11112
湖北公共新闻,http://59.175.154.178:8188/rtp/239.69.1.40:9880
湖北经视,http://59.175.154.178:8188/rtp/239.69.1.41:9886
湖北综合,http://59.175.154.178:8188/rtp/239.69.1.42:9892
湖北垄上,http://59.175.154.178:8188/rtp/239.69.1.43:9898
湖北影视,http://59.175.154.178:8188/rtp/239.69.1.204:10866
湖北生活,http://59.175.154.178:8188/rtp/239.69.1.205:10872
湖北教育,http://59.175.154.178:8188/rtp/239.69.1.206:10878
武汉新闻综合,http://59.175.154.178:8188/rtp/239.69.1.145:10506
武汉电视剧,http://59.175.154.178:8188/rtp/239.69.1.146:10512
武汉科技生活,http://59.175.154.178:8188/rtp/239.69.1.251:11148
武汉文体,http://59.175.154.178:8188/rtp/239.69.1.147:10518
武汉教育,http://59.175.154.178:8188/rtp/239.69.1.60:9994
蔡甸综合,http://59.175.154.178:8188/rtp/239.69.1.245:11112

湖北联通-央视,#genre#
CCTV-15音乐,http://113.57.20.185:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合HD,http://113.57.20.185:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经HD,http://113.57.20.185:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺HD,http://113.57.20.185:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际HD,http://113.57.20.185:1111/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育HD,http://113.57.20.185:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影HD,http://113.57.20.185:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事HD,http://113.57.20.185:1111/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧HD,http://113.57.20.185:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录HD,http://113.57.20.185:1111/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教HD,http://113.57.20.185:1111/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲HD,http://113.57.20.185:1111/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法HD,http://113.57.20.185:1111/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻HD,http://113.57.20.185:1111/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿HD,http://113.57.20.185:1111/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17农业农村HD,http://113.57.20.185:1111/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0

湖北联通-卫视,#genre#
湖北卫视HD,http://113.57.20.185:1111/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视HD,http://113.57.20.185:1111/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视HD,http://113.57.20.185:1111/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视HD,http://113.57.20.185:1111/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视HD,http://113.57.20.185:1111/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视HD,http://113.57.20.185:1111/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视HD,http://113.57.20.185:1111/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视HD,http://113.57.20.185:1111/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视HD,http://113.57.20.185:1111/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视HD,http://113.57.20.185:1111/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视HD,http://113.57.20.185:1111/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视HD,http://113.57.20.185:1111/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视HD,http://113.57.20.185:1111/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视HD,http://113.57.20.185:1111/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视HD,http://113.57.20.185:1111/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视HD,http://113.57.20.185:1111/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视HD,http://113.57.20.185:1111/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视HD,http://113.57.20.185:1111/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球HD,http://113.57.20.185:1111/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场HD,http://113.57.20.185:1111/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0

湖北移动-央视,#genre#
CCTV1-综合,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://120.202.94.181:9446/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://120.202.94.181:9446/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://120.202.94.181:9446/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://120.202.94.181:9446/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://120.202.94.181:9446/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://120.202.94.181:9446/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://120.202.94.181:9446/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://120.202.94.181:9446/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://120.202.94.181:9446/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://120.202.94.181:9446/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://120.202.94.181:9446/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
湖北移动-卫视,#genre#
湖北教育,http://120.202.94.181:9446/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://120.202.94.181:9446/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
