央视,#genre#
CCTV-12社会与法,http://119.131.25.38:9003/udp/239.77.0.136:5146
CCTV-13新闻,http://119.131.25.38:9003/udp/239.253.43.196:5146
CCTV-14少儿,http://119.131.25.38:9003/udp/239.77.1.161:5146
CCTV-15音乐,http://119.131.25.38:9003/udp/239.77.1.239:5146
CCTV-16奥林匹克,http://119.131.25.38:9003/udp/239.77.0.165:5146
CCTV-17农业农村,http://119.131.25.38:9003/udp/239.77.1.121:5146
CCTV-兵器科技,http://119.131.25.38:9003/udp/239.253.43.9:5146
CCTV-第一剧场,http://119.131.25.38:9003/udp/239.253.43.15:5146
CCTV-电视指南,http://119.131.25.38:9003/udp/239.253.43.10:5146
CCTV-风云剧场,http://119.131.25.38:9003/udp/239.253.43.16:5146
CCTV-风云音乐,http://119.131.25.38:9003/udp/239.253.43.6:5146
CCTV-风云足球,http://119.131.25.38:9003/udp/239.253.43.14:5146
CCTV-高尔夫·网球,http://119.131.25.38:9003/udp/239.253.43.12:5146
CCTV-怀旧剧场,http://119.131.25.38:9003/udp/239.253.43.5:5146
CCTV-女性时尚,http://119.131.25.38:9003/udp/239.253.43.8:5146
CCTV-世界地理,http://119.131.25.38:9003/udp/239.253.43.7:5146
CCTV-央视台球,http://119.131.25.38:9003/udp/239.253.43.11:5146
CCTV-文化精品,http://119.131.25.38:9003/udp/239.253.43.13:5146
CCTV1,http://112.226.228.106:22222/udp/239.253.254.77:8000
CCTV2,http://112.226.228.106:22222/udp/239.253.254.232:8000
CCTV3,http://112.226.228.106:22222/udp/239.253.254.191:8000
CCTV4,http://112.226.228.106:22222/udp/239.253.254.111:8000
CCTV4,http://112.226.228.106:22222/udp/239.253.254.186:8000
CCTV4,http://112.226.228.106:22222/udp/239.253.254.187:8000
CCTV5,http://112.226.228.106:22222/udp/239.253.254.192:8000
CCTV5+,http://112.226.228.106:22222/udp/239.253.254.80:8000
CCTV6,http://112.226.228.106:22222/udp/239.253.254.193:8000
CCTV7,http://112.226.228.106:22222/udp/239.253.254.233:8000
CCTV8,http://112.226.228.106:22222/udp/239.253.254.194:8000
CCTV9,http://112.226.228.106:22222/udp/239.253.254.79:8000
CCTV10,http://112.226.228.106:22222/udp/239.253.254.234:8000
CCTV11,http://112.226.228.106:22222/udp/239.253.254.169:8000
CCTV12,http://112.226.228.106:22222/udp/239.253.254.235:8000
CCTV13,http://112.226.228.106:22222/udp/239.253.254.175:8000
CCTV14,http://112.226.228.106:22222/udp/239.253.254.236:8000
CCTV15,http://112.226.228.106:22222/udp/239.253.254.170:8000
CCTV17,http://112.226.228.106:22222/udp/239.253.254.168:8000
卫视,#genre#
北京卫视,http://222.128.26.62:4001/rtp/239.3.1.241:8000
湖南卫视,http://222.128.26.62:4001/rtp/239.3.1.132:8012
东方卫视,http://222.128.26.62:4001/rtp/239.3.1.136:8032
浙江卫视,http://222.128.26.62:4001/rtp/239.3.1.137:8036
江苏卫视,http://222.128.26.62:4001/rtp/239.3.1.135:8028
深圳卫视,http://222.128.26.62:4001/rtp/239.3.1.134:8020
广东卫视,http://222.128.26.62:4001/rtp/239.3.1.142:8048
安徽卫视,http://222.128.26.62:4001/rtp/239.3.1.211:8064
天津卫视,http://222.128.26.62:4001/rtp/239.3.1.141:1234
重庆卫视,http://222.128.26.62:4001/rtp/239.3.1.122:8160
山东卫视,http://222.128.26.62:4001/rtp/239.3.1.209:8052
河北卫视,http://222.128.26.62:4001/rtp/239.3.1.148:8072
辽宁卫视,http://222.128.26.62:4001/rtp/239.3.1.210:8056
湖北卫视,http://222.128.26.62:4001/rtp/239.3.1.138:8044
吉林卫视,http://222.128.26.62:4001/rtp/239.3.1.240:8172
贵州卫视,http://222.128.26.62:4001/rtp/239.3.1.149:8076
东南卫视,http://222.128.26.62:4001/rtp/239.3.1.156:8148
江西卫视,http://222.128.26.62:4001/rtp/239.3.1.123:8164
海南卫视,http://222.128.26.62:4001/rtp/239.3.1.45:8304
黑龙江卫视,http://222.128.26.62:4001/rtp/239.3.1.133:8016
云南卫视,http://222.128.26.62:4001/rtp/239.3.1.26:8108
四川卫视,http://222.128.26.62:4001/rtp/239.3.1.29:8288
宁夏卫视,http://222.128.26.62:4001/rtp/239.3.1.46:8124
山西卫视,http://222.128.26.62:4001/rtp/239.3.1.42:8172
广西卫视,http://222.128.26.62:4001/rtp/239.3.1.39:8300
新疆卫视,http://222.128.26.62:4001/rtp/239.3.1.48:8160
河南卫视,http://222.128.26.62:4001/rtp/239.3.1.27:8128
甘肃卫视,http://222.128.26.62:4001/rtp/239.3.1.49:8188
西藏卫视,http://222.128.26.62:4001/rtp/239.3.1.47:8164
陕西卫视,http://222.128.26.62:4001/rtp/239.3.1.41:8140
青海卫视,http://222.128.26.62:4001/rtp/239.3.1.44:8184
内蒙古卫视,http://222.128.26.62:4001/rtp/239.3.1.43:8176
三沙卫视,http://222.128.26.62:4001/rtp/239.3.1.155:4120
厦门卫视,http://222.128.26.62:4001/rtp/239.3.1.143:4120
兵团卫视,http://222.128.26.62:4001/rtp/239.3.1.144:4120
山东教育卫视,http://222.128.26.62:4001/rtp/239.3.1.52:4120
北京卫视,http://114.245.176.20:8668/rtp/239.3.1.241:8000
湖南卫视,http://114.245.176.20:8668/rtp/239.3.1.132:8012
东方卫视,http://114.245.176.20:8668/rtp/239.3.1.136:8032
浙江卫视,http://114.245.176.20:8668/rtp/239.3.1.137:8036
江苏卫视,http://114.245.176.20:8668/rtp/239.3.1.135:8028
深圳卫视,http://114.245.176.20:8668/rtp/239.3.1.134:8020
广东卫视,http://114.245.176.20:8668/rtp/239.3.1.142:8048
安徽卫视,http://114.245.176.20:8668/rtp/239.3.1.211:8064
天津卫视,http://114.245.176.20:8668/rtp/239.3.1.141:1234
重庆卫视,http://114.245.176.20:8668/rtp/239.3.1.122:8160
山东卫视,http://114.245.176.20:8668/rtp/239.3.1.209:8052
河北卫视,http://114.245.176.20:8668/rtp/239.3.1.148:8072
辽宁卫视,http://114.245.176.20:8668/rtp/239.3.1.210:8056
湖北卫视,http://114.245.176.20:8668/rtp/239.3.1.138:8044
吉林卫视,http://114.245.176.20:8668/rtp/239.3.1.240:8172
贵州卫视,http://114.245.176.20:8668/rtp/239.3.1.149:8076
东南卫视,http://114.245.176.20:8668/rtp/239.3.1.156:8148
江西卫视,http://114.245.176.20:8668/rtp/239.3.1.123:8164
海南卫视,http://114.245.176.20:8668/rtp/239.3.1.45:8304
黑龙江卫视,http://114.245.176.20:8668/rtp/239.3.1.133:8016
云南卫视,http://114.245.176.20:8668/rtp/239.3.1.26:8108
四川卫视,http://114.245.176.20:8668/rtp/239.3.1.29:8288
宁夏卫视,http://114.245.176.20:8668/rtp/239.3.1.46:8124
山西卫视,http://114.245.176.20:8668/rtp/239.3.1.42:8172
广西卫视,http://114.245.176.20:8668/rtp/239.3.1.39:8300
新疆卫视,http://114.245.176.20:8668/rtp/239.3.1.48:8160
河南卫视,http://114.245.176.20:8668/rtp/239.3.1.27:8128
甘肃卫视,http://114.245.176.20:8668/rtp/239.3.1.49:8188
西藏卫视,http://114.245.176.20:8668/rtp/239.3.1.47:8164
陕西卫视,http://114.245.176.20:8668/rtp/239.3.1.41:8140
青海卫视,http://114.245.176.20:8668/rtp/239.3.1.44:8184
内蒙古卫视,http://114.245.176.20:8668/rtp/239.3.1.43:8176
三沙卫视,http://114.245.176.20:8668/rtp/239.3.1.155:4120
厦门卫视,http://114.245.176.20:8668/rtp/239.3.1.143:4120
兵团卫视,http://114.245.176.20:8668/rtp/239.3.1.144:4120
山东教育卫视,http://114.245.176.20:8668/rtp/239.3.1.52:4120
广东卫视,http://183.47.2.156:16883/udp/239.77.1.19:5146
广东卫视,http://183.47.2.156:16883/udp/239.77.1.152:5146
广东卫视,http://183.47.2.156:16883/udp/239.77.0.166:5146
广东大湾区卫视,http://183.47.2.156:16883/udp/239.77.0.215:5146
