央视,#genre#
CCTV9HD,http://121.233.191.119:4022/rtp/239.49.8.53:9814
CCTV10HD,http://121.233.191.119:4022/rtp/239.49.8.54:9818
CCTV10HD,http://121.233.191.119:4022/rtp/239.49.8.134:6000
CCTV11HD,http://121.233.191.119:4022/rtp/239.49.0.127:8000
CCTV12HD,http://121.233.191.119:4022/rtp/239.49.8.55:9822
CCTV12HD,http://121.233.191.119:4022/rtp/239.49.8.135:6000
CCTV13HD,http://121.233.191.119:4022/rtp/239.49.0.196:8000
CCTV13HD,http://121.233.191.119:4022/rtp/239.49.8.109:8000
CCTV13HD,http://121.233.191.119:4022/rtp/239.49.8.98:8000
CCTV14HD,http://121.233.191.119:4022/rtp/239.49.8.56:9826
CCTV14HD,http://121.233.191.119:4022/rtp/239.49.8.136:6000
CCTV15HD,http://121.233.191.119:4022/rtp/239.49.0.128:8000
CCTV16HD,http://121.233.191.119:4022/rtp/239.49.8.31:8000
CCTV17HD,http://121.233.191.119:4022/rtp/239.49.8.52:9810
CCTV17HD,http://121.233.191.119:4022/rtp/239.49.8.132:6000
CCTV5+HD,http://121.233.191.119:4022/rtp/239.49.8.18:9610
CCTV1,http://121.233.191.119:4022/rtp/239.49.0.145:8000
CCTV1,http://121.233.191.119:4022/rtp/239.49.0.1:8000
CCTV1,http://121.233.191.119:4022/rtp/239.49.0.91:8000
CCTV1,http://121.233.191.119:4022/rtp/239.49.1.1:6000
CCTV10,http://121.233.191.119:4022/rtp/239.49.1.10:6000
CCTV11,http://121.233.191.119:4022/rtp/239.49.1.11:6000
CCTV12,http://121.233.191.119:4022/rtp/239.49.1.12:6000
CCTV13,http://121.233.191.119:4022/rtp/239.49.1.13:6000
CCTV14,http://121.233.191.119:4022/rtp/239.49.1.14:6000
CCTV15,http://121.233.191.119:4022/rtp/239.49.1.15:6000
CCTV17,http://121.233.191.119:4022/rtp/239.49.1.7:6000
CCTV2,http://121.233.191.119:4022/rtp/239.49.1.2:6000
CCTV3,http://121.233.191.119:4022/rtp/239.49.1.3:6000
CCTV4,http://121.233.191.119:4022/rtp/239.49.1.4:6000
CCTV5,http://121.233.191.119:4022/rtp/239.49.1.5:6000
CCTV6,http://121.233.191.119:4022/rtp/239.49.1.6:6000
CCTV7,http://121.233.191.119:4022/rtp/239.49.1.254:6000
CCTV8,http://121.233.191.119:4022/rtp/239.49.1.8:6000
CCTV中等教育,http://121.233.191.119:4022/rtp/239.49.0.43:8000
CCTV1HD,http://117.86.48.47:7777/rtp/239.49.8.19:9614
CCTV1HD,http://117.86.48.47:7777/rtp/239.49.0.207:8000
CCTV1HD,http://117.86.48.47:7777/rtp/239.49.8.129:6000
CCTV2HD,http://117.86.48.47:7777/rtp/239.49.8.50:9802
CCTV2HD,http://117.86.48.47:7777/rtp/239.49.8.130:6000
CCTV3HD,http://117.86.48.47:7777/rtp/239.49.0.28:8000
CCTV3HD,http://117.86.48.47:7777/rtp/239.49.8.74:8000
CCTV4HD,http://117.86.48.47:7777/rtp/239.49.8.131:6000
CCTV5HD,http://117.86.48.47:7777/rtp/239.49.0.206:8000
CCTV5HD,http://117.86.48.47:7777/rtp/239.49.0.29:8000
CCTV5HD,http://117.86.48.47:7777/rtp/239.49.8.75:8000
CCTV6HD,http://117.86.48.47:7777/rtp/239.49.0.73:8000
CCTV6HD,http://117.86.48.47:7777/rtp/239.49.8.76:8000
CCTV7HD,http://117.86.48.47:7777/rtp/239.49.0.126:8000
CCTV8HD,http://117.86.48.47:7777/rtp/239.49.0.79:8000
CCTV8HD,http://117.86.48.47:7777/rtp/239.49.8.77:8000
CCTV9HD,http://117.86.48.47:7777/rtp/239.49.8.53:9814
CCTV10HD,http://117.86.48.47:7777/rtp/239.49.8.54:9818
CCTV10HD,http://117.86.48.47:7777/rtp/239.49.8.134:6000
CCTV11HD,http://117.86.48.47:7777/rtp/239.49.0.127:8000
CCTV12HD,http://117.86.48.47:7777/rtp/239.49.8.55:9822
CCTV12HD,http://117.86.48.47:7777/rtp/239.49.8.135:6000
CCTV13HD,http://117.86.48.47:7777/rtp/239.49.0.196:8000
CCTV13HD,http://117.86.48.47:7777/rtp/239.49.8.109:8000
CCTV13HD,http://117.86.48.47:7777/rtp/239.49.8.98:8000
CCTV14HD,http://117.86.48.47:7777/rtp/239.49.8.56:9826
CCTV14HD,http://117.86.48.47:7777/rtp/239.49.8.136:6000
CCTV15HD,http://117.86.48.47:7777/rtp/239.49.0.128:8000
